Country,Year,Week,Age,Deaths
Peru,2016,52,0,17
Peru,2016,52,5,1
Peru,2016,52,10,1
Peru,2016,52,15,3
Peru,2016,52,20,10
Peru,2016,52,25,12
Peru,2016,52,30,5
Peru,2016,52,35,8
Peru,2016,52,40,13
Peru,2016,52,45,11
Peru,2016,52,50,13
Peru,2016,52,55,11
Peru,2016,52,60,16
Peru,2016,52,65,23
Peru,2016,52,70,24
Peru,2016,52,75,24
Peru,2016,52,80,25
Peru,2016,52,85,26
Peru,2016,52,90,14
Peru,2016,52,95,13
Peru,2017,1,0,93
Peru,2017,1,5,13
Peru,2017,1,10,6
Peru,2017,1,15,17
Peru,2017,1,20,21
Peru,2017,1,25,27
Peru,2017,1,30,35
Peru,2017,1,35,43
Peru,2017,1,40,61
Peru,2017,1,45,51
Peru,2017,1,50,60
Peru,2017,1,55,86
Peru,2017,1,60,91
Peru,2017,1,65,102
Peru,2017,1,70,149
Peru,2017,1,75,154
Peru,2017,1,80,219
Peru,2017,1,85,186
Peru,2017,1,90,109
Peru,2017,1,95,61
Peru,2017,2,0,79
Peru,2017,2,5,9
Peru,2017,2,10,9
Peru,2017,2,15,20
Peru,2017,2,20,40
Peru,2017,2,25,33
Peru,2017,2,30,35
Peru,2017,2,35,44
Peru,2017,2,40,46
Peru,2017,2,45,70
Peru,2017,2,50,66
Peru,2017,2,55,84
Peru,2017,2,60,92
Peru,2017,2,65,125
Peru,2017,2,70,145
Peru,2017,2,75,175
Peru,2017,2,80,199
Peru,2017,2,85,204
Peru,2017,2,90,148
Peru,2017,2,95,46
Peru,2017,2,NA,2
Peru,2017,3,0,99
Peru,2017,3,5,10
Peru,2017,3,10,10
Peru,2017,3,15,28
Peru,2017,3,20,40
Peru,2017,3,25,36
Peru,2017,3,30,37
Peru,2017,3,35,41
Peru,2017,3,40,58
Peru,2017,3,45,56
Peru,2017,3,50,67
Peru,2017,3,55,81
Peru,2017,3,60,105
Peru,2017,3,65,121
Peru,2017,3,70,156
Peru,2017,3,75,179
Peru,2017,3,80,219
Peru,2017,3,85,206
Peru,2017,3,90,134
Peru,2017,3,95,55
