Country,Year,Age,Population,Sex
Afghanistan,2020,0,1169006,t
Afghanistan,2020,1,1148234,t
Afghanistan,2020,2,1131278,t
Afghanistan,2020,3,1117547,t
Afghanistan,2020,4,1106444,t
Afghanistan,2020,5,1097379,t
Afghanistan,2020,6,1089758,t
Afghanistan,2020,7,1082988,t
Afghanistan,2020,8,1076473,t
Afghanistan,2020,9,1069625,t
Afghanistan,2020,10,1062757,t
Afghanistan,2020,11,1056188,t
Afghanistan,2020,12,1044772.9999999999,t
Afghanistan,2020,13,1026098,t
Afghanistan,2020,14,1002298,t
Afghanistan,2020,15,977972,t
Afghanistan,2020,16,952247,t
Afghanistan,2020,17,925909,t
Afghanistan,2020,18,899827,t
Afghanistan,2020,19,873490,t
Afghanistan,2020,20,846001,t
Afghanistan,2020,21,818117,t
Afghanistan,2020,22,787963,t
Afghanistan,2020,23,754705,t
Afghanistan,2020,24,719699,t
Afghanistan,2020,25,685172,t
Afghanistan,2020,26,650727,t
Afghanistan,2020,27,618618,t
Afghanistan,2020,28,590211,t
Afghanistan,2020,29,564658,t
Afghanistan,2020,30,539448,t
Afghanistan,2020,31,514727.99999999994,t
Afghanistan,2020,32,492644,t
Afghanistan,2020,33,473902,t
Afghanistan,2020,34,457537,t
Afghanistan,2020,35,441915,t
Afghanistan,2020,36,427400,t
Afghanistan,2020,37,412393,t
Afghanistan,2020,38,395943,t
Afghanistan,2020,39,378736,t
Afghanistan,2020,40,362470,t
Afghanistan,2020,41,346877,t
Afghanistan,2020,42,331513,t
Afghanistan,2020,43,316352,t
Afghanistan,2020,44,301511,t
Afghanistan,2020,45,287086,t
Afghanistan,2020,46,272993,t
Afghanistan,2020,47,259834.99999999997,t
Afghanistan,2020,48,247905,t
Afghanistan,2020,49,236917,t
Afghanistan,2020,50,226269,t
Afghanistan,2020,51,216046,t
Afghanistan,2020,52,206186,t
Afghanistan,2020,53,196588,t
Afghanistan,2020,54,187270,t
Afghanistan,2020,55,178351,t
Afghanistan,2020,56,169803,t
Afghanistan,2020,57,161440,t
Afghanistan,2020,58,153178,t
Afghanistan,2020,59,145067,t
Afghanistan,2020,60,137255,t
Afghanistan,2020,61,129725,t
Afghanistan,2020,62,122371,t
Afghanistan,2020,63,115158,t
Afghanistan,2020,64,108129,t
Afghanistan,2020,65,101288,t
Afghanistan,2020,66,94543,t
Afghanistan,2020,67,88334,t
Afghanistan,2020,68,82852,t
Afghanistan,2020,69,77841,t
Afghanistan,2020,70,72964,t
Afghanistan,2020,71,68409,t
Afghanistan,2020,72,63300,t
Afghanistan,2020,73,57203,t
Afghanistan,2020,74,50575,t
Afghanistan,2020,75,44294,t
Afghanistan,2020,76,38163,t
Afghanistan,2020,77,32705,t
Afghanistan,2020,78,28263,t
Afghanistan,2020,79,24579,t
Afghanistan,2020,80,21040,t
Afghanistan,2020,81,17749,t
Afghanistan,2020,82,14800,t
Afghanistan,2020,83,12169,t
Afghanistan,2020,84,9847,t
Afghanistan,2020,85,7816,t
Afghanistan,2020,86,6048,t
Afghanistan,2020,87,4587,t
Afghanistan,2020,88,3444,t
Afghanistan,2020,89,2565,t
Afghanistan,2020,90,1772,t
Afghanistan,2020,91,1288,t
Afghanistan,2020,92,1020.9999999999999,t
Afghanistan,2020,93,721,t
Afghanistan,2020,94,390,t
Afghanistan,2020,95,206,t
Afghanistan,2020,96,169,t
Afghanistan,2020,97,129,t
Afghanistan,2020,98,86,t
Afghanistan,2020,99,39,t
Afghanistan,2020,100,39,t
Argentina,2020,0,740643,t
Argentina,2020,1,745908,t
Argentina,2020,2,749139,t
Argentina,2020,3,750562,t
Argentina,2020,4,750399,t
Argentina,2020,5,748876,t
Argentina,2020,6,746218,t
Argentina,2020,7,742648,t
Argentina,2020,8,738395,t
Argentina,2020,9,733680,t
Argentina,2020,10,728408,t
Argentina,2020,11,722488,t
Argentina,2020,12,717737,t
Argentina,2020,13,715022,t
Argentina,2020,14,713607,t
Argentina,2020,15,712071,t
Argentina,2020,16,710911,t
Argentina,2020,17,709002,t
Argentina,2020,18,705711,t
Argentina,2020,19,701754,t
Argentina,2020,20,697916,t
Argentina,2020,21,693371,t
Argentina,2020,22,691692,t
Argentina,2020,23,694522,t
Argentina,2020,24,699834,t
Argentina,2020,25,704359,t
Argentina,2020,26,709228,t
Argentina,2020,27,709831,t
Argentina,2020,28,703696,t
Argentina,2020,29,693135,t
Argentina,2020,30,683187,t
Argentina,2020,31,673151,t
Argentina,2020,32,663185,t
Argentina,2020,33,653973,t
Argentina,2020,34,645484,t
Argentina,2020,35,636067,t
Argentina,2020,36,624932,t
Argentina,2020,37,618420,t
Argentina,2020,38,619163,t
Argentina,2020,39,623850,t
Argentina,2020,40,627395,t
Argentina,2020,41,631844,t
Argentina,2020,42,628498,t
Argentina,2020,43,612844,t
Argentina,2020,44,589320,t
Argentina,2020,45,566944,t
Argentina,2020,46,543991,t
Argentina,2020,47,523481,t
Argentina,2020,48,507848,t
Argentina,2020,49,495579,t
Argentina,2020,50,482375,t
Argentina,2020,51,468677,t
Argentina,2020,52,457420,t
Argentina,2020,53,449506,t
Argentina,2020,54,443753,t
Argentina,2020,55,438175,t
Argentina,2020,56,433291,t
Argentina,2020,57,426923,t
Argentina,2020,58,417826,t
Argentina,2020,59,406994,t
Argentina,2020,60,396559,t
Argentina,2020,61,385959,t
Argentina,2020,62,375899,t
Argentina,2020,63,366896,t
Argentina,2020,64,358420,t
Argentina,2020,65,349421,t
Argentina,2020,66,340116,t
Argentina,2020,67,330021,t
Argentina,2020,68,318789,t
Argentina,2020,69,306662,t
Argentina,2020,70,294397,t
Argentina,2020,71,282056,t
Argentina,2020,72,268665,t
Argentina,2020,73,253879,t
Argentina,2020,74,238226,t
Argentina,2020,75,222589,t
Argentina,2020,76,206818,t
Argentina,2020,77,191699,t
Argentina,2020,78,177719,t
Argentina,2020,79,164589,t
Argentina,2020,80,151529,t
Argentina,2020,81,138691,t
Argentina,2020,82,126373,t
Argentina,2020,83,114642,t
Argentina,2020,84,103449,t
Argentina,2020,85,92739,t
Argentina,2020,86,82595,t
Argentina,2020,87,72726,t
Argentina,2020,88,63005,t
Argentina,2020,89,53620,t
Argentina,2020,90,43907,t
Argentina,2020,91,36661,t
Argentina,2020,92,31320,t
Argentina,2020,93,24439,t
Argentina,2020,94,16018.999999999998,t
Argentina,2020,95,10868,t
Argentina,2020,96,9307,t
Argentina,2020,97,7443,t
Argentina,2020,98,5278,t
Argentina,2020,99,2810,t
Argentina,2020,100,4118,t
Brazil,2020,0,2870920,t
Brazil,2020,1,2887604,t
Brazil,2020,2,2899076,t
Brazil,2020,3,2906491,t
Brazil,2020,4,2911002,t
Brazil,2020,5,2913764,t
Brazil,2020,6,2915929,t
Brazil,2020,7,2918652,t
